,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
146,2018 Hyundai Elite i20,MAGNA EXECUTIVE CVT,Automatic,"29,246 km",1st Owner,Petrol,KA-53,"13,802/month","7,06,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
147,2018 Honda City,1.5L I-VTEC V MT,Manual,"25,742 km",2nd Owner,Petrol,KA-01,"15,562/month","7,96,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
148,2017 Hyundai i20 Active,1.2 SX,Manual,"32,345 km",2nd Owner,Petrol,KA-53,"13,001/month","6,65,000","Hosur Road, Singasandra, Bengaluru"
149,2012 Hyundai i10,SPORTZ 1.2,Manual,"73,583 km",2nd Owner,Petrol,KA-51,"6,100/month","3,12,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
150,2013 Hyundai i20,MAGNA (O) 1.2,Manual,"66,085 km",1st Owner,Petrol,KA-01,"7,781/month","3,98,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
151,2019 KIA SELTOS,GTX PLUS DCT 1.4 PETROL,Automatic,"24,270 km",2nd Owner,Petrol,KA-01,"27,371/month","14,38,000","Horamavu Agara Road, Bengaluru"
152,2018 Mahindra XUV500,W10 AT,Automatic,"97,053 km",1st Owner,Diesel,KA-03,"27,866/month","14,64,000","Garuda Mall, Magrath Road, Bengaluru"
153,2020 Renault Duster,RXZ,Manual,"11,201 km",1st Owner,Petrol,KA-03,"19,491/month","10,24,000","Sonnappanahalli
"
154,2020 Tata ALTROZ,XZ DIESEL,Manual,"58,107 km",1st Owner,Diesel,KA-25,"15,366/month","7,86,000","Bellahalli, Bengaluru"
155,2013 Maruti Alto K10,VXI,Manual,"82,482 km",3rd Owner,Petrol,KA-41,"4,516/month","2,31,000","Bellahalli, Bengaluru"
156,2014 Maruti Swift Dzire,VXI,Manual,"24,526 km",2nd Owner,Petrol,KA-53,"9,912/month","5,07,000","Bellahalli, Bengaluru"
157,2016 Volkswagen Ameo,COMFORTLINE 1.2L,Manual,"31,293 km",1st Owner,Petrol,KA-02,"10,303/month","5,27,000","Whitefield Main Road, Bhoruka Tech Park, Benga..."
158,2012 Maruti Alto,LXI,Manual,"1,00,100 km",1st Owner,Petrol,KA-05,"4,516/month","2,31,000","Horamavu Agara Road, Bengaluru"
159,2018 Maruti Swift,VXI AMT,Automatic,"46,009 km",1st Owner,Petrol,KA-05,"12,180/month","6,23,000","Bellahalli, Bengaluru"
160,2015 Maruti Swift Dzire,VDI,Manual,"51,745 km",2nd Owner,Diesel,KA-05,"10,616/month","5,43,000","Sonnappanahalli
"
