,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
149,2023 Tata PUNCH,ACCOMPLISHED MT,Manual,"6,872 km",1st Owner,Petrol,TN-85,"15,230/month","7,79,000","Thiruverkadu, Chennai
"
150,2016 Hyundai Xcent,S AT 1.2,Automatic,"64,011 km",1st Owner,Petrol,TN-07,"10,459/month","5,35,000","Thiruverkadu, Chennai
"
151,2019 Maruti IGNIS,DELTA 1.2,Manual,"30,287 km",1st Owner,Petrol,TN-09,"10,010/month","5,12,000","Thiruverkadu, Chennai
"
152,2016 Hyundai Elite i20,ASTA 1.2 (O),Manual,"76,457 km",2nd Owner,Petrol,TN-01,"11,887/month","6,08,000","Thiruverkadu, Chennai
"
153,2017 Honda Jazz,1.2L I-VTEC V AT,Automatic,"26,465 km",1st Owner,Petrol,TN-01,"13,216/month","6,76,000","Thiruverkadu, Chennai
"
154,2017 Maruti Swift,VXI O,Manual,"41,138 km",1st Owner,Petrol,TN-07,"10,205/month","5,22,000","Thiruverkadu, Chennai
"
155,2017 Honda WR-V,1.5L I-DTEC VX MT,Manual,"71,096 km",2nd Owner,Diesel,TN-59,"14,526/month","7,43,000","Thiruverkadu, Chennai
"
156,2016 Maruti Swift Dzire,VXI,Manual,"50,500 km",2nd Owner,Petrol,TN-02,"10,381/month","5,31,000","Thiruverkadu, Chennai
"
157,2015 Maruti Swift,VXI,Manual,"48,563 km",2nd Owner,Petrol,TN-12,"9,580/month","4,90,000","Navalur
"
158,2019 Volkswagen Ameo,COMFORTLINE 1.0L,Manual,"1,19,544 km",1st Owner,Petrol,TN-83,"9,873/month","5,05,000","Navalur
"
159,2017 Honda WR-V,1.2L I-VTEC VX MT,Manual,"30,033 km",1st Owner,Petrol,TN-06,"14,448/month","7,39,000","Navalur
"
160,2017 Ford Ecosport,1.0 ECOBOOST TITANIUM +,Manual,"33,921 km",1st Owner,Petrol,TN-12,"13,939/month","7,13,000","Thiruverkadu, Chennai
"
161,2018 Hyundai Creta,SX 1.6 PETROL,Manual,"1,06,506 km",1st Owner,Petrol,TN-01,"17,264/month","9,07,000","Navalur
"
162,2017 Maruti Swift,VXI O,Manual,"76,529 km",2nd Owner,Petrol,TN-14,"9,912/month","5,07,000","Thiruverkadu, Chennai
"
163,2017 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"63,260 km",2nd Owner,Petrol,TN-12,"9,189/month","4,70,000","Navalur
"
164,2016 Renault Kwid,RXT 0.8,Manual,"59,492 km",1st Owner,Petrol,TN-13,"6,647/month","3,40,000","Navalur
"
165,2021 Skoda Rapid,STYLE AT TSI,Automatic,"8,608 km",1st Owner,Petrol,TN-02,"23,107/month","12,14,000","Thiruverkadu, Chennai
"
166,2017 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"25,247 km",1st Owner,Petrol,TN-05,"9,853/month","5,04,000","Thiruverkadu, Chennai
"
167,2016 Nissan Micra Active,XV SAFETY PACK,Manual,"1,10,267 km",2nd Owner,Petrol,TN-85,"6,862/month","3,51,000","Navalur
"
168,2021 Nissan MAGNITE,XV MT,Manual,"81,508 km",1st Owner,Petrol,TN-19,"14,174/month","7,25,000","Thiruverkadu, Chennai
"
169,2012 Maruti Wagon R 1.0,VXI,Manual,"99,451 km",2nd Owner,Petrol,TN-01,"5,767/month","2,95,000","Navalur
"
170,2013 Honda Amaze,1.2L I-VTEC S,Manual,"43,211 km",1st Owner,Petrol,TN-09,"8,485/month","4,34,000","Thiruverkadu, Chennai
"
171,2016 Maruti Swift Dzire,VXI,Manual,"74,401 km",2nd Owner,Petrol,TN-10,"10,420/month","5,33,000","Navalur
"
172,2013 Honda Brio,S MT,Manual,"66,423 km",2nd Owner,Petrol,TN-07,"6,276/month","3,21,000","Thiruverkadu, Chennai
"
173,2020 Maruti S Cross,ALPHA 1.5,Manual,"28,121 km",1st Owner,Petrol,TN-11,"18,749/month","9,85,000","Thiruverkadu, Chennai
"
