,Car Title,Car Model,Car Transmission,Car km,Car Owner,Car Fuel type,Car Registration,Car price per month,Car Price,Car Location
114,2013 Honda City,1.5L I-VTEC S MT,Manual,"1,05,746 km",3rd Owner,Petrol,AP-29,"8,387/month","4,29,000","Attapur, Hyderabad"
115,2016 Honda City,1.5L I-VTEC SV,Manual,"53,326 km",2nd Owner,Petrol,TS-03,"12,395/month","6,34,000","Bachupally, Hyderabad"
116,2020 Nissan MAGNITE,XV DUAL TONE,Manual,"30,094 km",1st Owner,Petrol,TS-08,"14,624/month","7,48,000","Kompally, Hyderabad"
117,2013 Maruti Swift Dzire,VXI,Manual,"41,312 km",1st Owner,Petrol,AP-10,"8,661/month","4,43,000","Attapur, Hyderabad"
118,2021 Tata ALTROZ,XT I-TURBO PETROL,Manual,"12,280 km",1st Owner,Petrol,TS-08,"14,545/month","7,44,000","Kompally, Hyderabad"
119,2018 Renault Kwid,CLIMBER 1.0 AT,Automatic,"42,964 km",1st Owner,Petrol,TS-30,"8,798/month","4,50,000","Kompally, Hyderabad"
120,2020 Maruti S Cross,ALPHA 1.5 SMART HYBRID,Manual,"26,852 km",1st Owner,Petrol,TS-07,"19,034/month","10,00,000","Kompally, Hyderabad"
121,2020 Maruti S Cross,ALPHA 1.5 SMART HYBRID,Manual,"40,687 km",1st Owner,Petrol,TS-02,"18,596/month","9,77,000","Kompally, Hyderabad"
122,2014 Honda City,1.5L I-VTEC SV CVT,Automatic,"62,015 km",2nd Owner,Petrol,AP-13,"11,124/month","5,69,000","Kompally, Hyderabad"
123,2017 Maruti Alto K10,VXI,Manual,"86,555 km",1st Owner,Petrol,TS-15,"5,924/month","3,03,000","Kompally, Hyderabad"
124,2021 Volkswagen Polo,HIGHLINE PLUS 1.0L TSI AT,Automatic,"55,053 km",1st Owner,Petrol,TS-08,"17,968/month","9,44,000","Kompally, Hyderabad"
125,2016 Maruti Swift Dzire,VXI,Manual,"1,21,831 km",1st Owner,Petrol,TS-05,"10,616/month","5,43,000","Kompally, Hyderabad"
126,2015 Hyundai Elite i20,SPORTZ 1.2,Manual,"1,01,887 km",2nd Owner,Petrol,TS-15,"10,088/month","5,16,000","Kompally, Hyderabad"
127,2017 Maruti Alto 800,LXI,Manual,"21,247 km",1st Owner,Petrol,TS-15,"5,709/month","2,92,000","Kompally, Hyderabad"
128,2021 Tata Harrier,XZ +,Manual,"70,076 km",1st Owner,Diesel,TS-08,"33,976/month","17,85,000","Kompally, Hyderabad"
129,2019 Hyundai Elite i20,ASTA (O) CVT,Automatic,"26,416 km",2nd Owner,Petrol,TS-07,"15,341/month","8,06,000","Attapur, Hyderabad"
130,2016 Skoda Rapid,STYLE 1.5 TDI,Manual,"1,00,615 km",1st Owner,Diesel,TS-07,"14,956/month","7,65,000","Attapur, Hyderabad"
131,2019 Toyota Glanza,V,Manual,"35,540 km",2nd Owner,Petrol,TS-11,"14,291/month","7,31,000","Kompally, Hyderabad"
132,2021 Tata Tiago,XT (O) PETROL,Manual,"43,668 km",1st Owner,Petrol,TS-07,"11,085/month","5,67,000","Kompally, Hyderabad"
133,2022 Skoda SLAVIA,STYLE 1.0L TSI MT,Manual,"43,840 km",1st Owner,Petrol,TS-07,"27,257/month","14,32,000","Bachupally, Hyderabad"
134,2013 Hyundai i20,MAGNA 1.2,Manual,"54,222 km",2nd Owner,Petrol,AP-28,"8,172/month","4,18,000","Kompally, Hyderabad"
135,2020 KIA SELTOS,GTX PLUS DCT 1.4 PETROL,Automatic,"63,008 km",1st Owner,Petrol,TS-09,"31,787/month","16,70,000","Kompally, Hyderabad"
136,2018 Hyundai Eon,SPORTZ,Manual,"81,319 km",1st Owner,Petrol,TS-07,"6,549/month","3,35,000","Attapur, Hyderabad"
137,2021 Skoda Rapid,STYLE AT TSI,Automatic,"28,306 km",1st Owner,Petrol,TS-08,"22,156/month","11,64,000","Kompally, Hyderabad"
138,2015 Hyundai i10,SPORTZ 1.1,Manual,"93,593 km",1st Owner,Petrol,TS-07,"7,214/month","3,69,000","Kompally, Hyderabad"
139,2017 Maruti Baleno,ALPHA PETROL 1.2,Manual,"55,973 km",1st Owner,Petrol,TS-07,"12,923/month","6,61,000","Kompally, Hyderabad"
140,2019 Datsun Go Plus,T,Manual,"62,674 km",3rd Owner,Petrol,TS-07,"8,504/month","4,35,000","Bachupally, Hyderabad"
141,2018 Ford FREESTYLE,TITANIUM 1.5 DIESEL,Manual,"1,12,941 km",1st Owner,Diesel,TS-07,"10,479/month","5,36,000","Bachupally, Hyderabad"
142,2020 Maruti Swift,VXI,Manual,"49,158 km",1st Owner,Petrol,TS-13,"12,688/month","6,49,000","Attapur, Hyderabad"
143,2016 Maruti Celerio,ZXI AMT,Automatic,"18,732 km",1st Owner,Petrol,TS-11,"9,931/month","5,08,000","Bachupally, Hyderabad"
144,2012 Maruti Swift Dzire,ZXI,Manual,"44,784 km",3rd Owner,Petrol,AP-09,"8,583/month","4,39,000","Attapur, Hyderabad"
145,2021 Hyundai GRAND I10 NIOS,SPORTZ AMT 1.2 KAPPA VTVT,Automatic,"35,060 km",1st Owner,Petrol,TS-08,"14,369/month","7,35,000","Attapur, Hyderabad"
146,2019 Maruti Baleno,ZETA PETROL 1.2,Manual,"49,124 km",2nd Owner,Petrol,TS-07,"13,548/month","6,93,000","Bachupally, Hyderabad"
147,2018 Hyundai i20 Active,1.2 SX DUAL TONE,Manual,"71,817 km",1st Owner,Petrol,TS-08,"13,842/month","7,08,000","Attapur, Hyderabad"
148,2018 Skoda Rapid,STYLE 1.6 MPI,Manual,"68,756 km",1st Owner,Petrol,TS-08,"15,341/month","8,06,000","Bachupally, Hyderabad"
149,2018 Hyundai Creta,SX PLUS 1.6 PETROL,Manual,"96,620 km",1st Owner,Petrol,TS-08,"18,863/month","9,91,000","Bachupally, Hyderabad"
150,2022 Renault Kwid,RXT 1.0,Manual,"11,689 km",1st Owner,Petrol,TS-04,"10,772/month","5,51,000","Bachupally, Hyderabad"
151,2018 Toyota YARIS,J CVT,Automatic,"92,585 km",1st Owner,Petrol,TS-07,"15,034/month","7,69,000","Kompally, Hyderabad"
152,2019 Hyundai Verna,1.6 CRDI SX + AT,Automatic,"67,370 km",2nd Owner,Diesel,TS-13,"20,062/month","10,54,000","Kompally, Hyderabad"
153,2022 Nissan MAGNITE,XV TURBO CVT,Automatic,"12,094 km",1st Owner,Petrol,TS-15,"18,101/month","9,51,000","Bachupally, Hyderabad"
154,2020 Maruti Baleno,ZETA 1.2 K12,Manual,"39,752 km",2nd Owner,Petrol,TS-08,"14,135/month","7,23,000","Bachupally, Hyderabad"
155,2012 Hyundai i10,MAGNA 1.2,Manual,"57,785 km",1st Owner,Petrol,AP-10,"6,080/month","3,11,000","Attapur, Hyderabad"
156,2016 Volkswagen Ameo,HIGHLINE1.2L,Manual,"97,921 km",1st Owner,Petrol,TS-08,"10,342/month","5,29,000","Bachupally, Hyderabad"
157,2018 Hyundai New Elantra,1.6 SX (O) AT DIESEL,Automatic,"81,405 km",1st Owner,Diesel,TS-07,"24,002/month","12,61,000","Kompally, Hyderabad"
158,2020 Hyundai VENUE,SX 1.0 TURBO,Manual,"50,646 km",1st Owner,Petrol,TS-08,"17,321/month","9,10,000","Bachupally, Hyderabad"
159,2018 Tata Tiago,XZ PETROL,Manual,"93,407 km",2nd Owner,Petrol,TS-23,"9,267/month","4,74,000","Kompally, Hyderabad"
160,2021 Hyundai ALCAZAR,1.5 SIGNATURE MT 6STR,Manual,"30,111 km",1st Owner,Diesel,TS-07,"34,604/month","18,18,000","Kompally, Hyderabad"
161,2017 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"44,390 km",1st Owner,Petrol,TS-07,"10,186/month","5,21,000","Kompally, Hyderabad"
162,2019 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"55,812 km",1st Owner,Petrol,TS-07,"10,107/month","5,17,000","Kompally, Hyderabad"
163,2017 Datsun Redi Go,S,Manual,"32,419 km",1st Owner,Petrol,TS-09,"5,885/month","3,01,000","Kompally, Hyderabad"
164,2017 Maruti Vitara Brezza,ZDI PLUS,Manual,"1,21,129 km",2nd Owner,Diesel,TS-07,"15,246/month","8,01,000","Kompally, Hyderabad"
165,2015 Maruti Swift Dzire,VDI,Manual,"89,997 km",2nd Owner,Diesel,TS-07,"12,297/month","6,29,000","Kompally, Hyderabad"
